,contract_id,customer_id,customer_parent_company_id,shipping_date,market,contract_type,material_id,incoterms,country,region_id,CRM_client_type,CRM_client_segment,CRM_client_industry,cost_ifso,cost_dir,cost_overhead,cost_commercial,custom_duties,parity_value,units,price_per_unit,revenue
44,14,14,-1,25.11.2018,domestic,spot,430604,CPT,RU,34,processor,Строительство,Пр-во строительных материалов,0.0,0,0,19967749.277916,0,281148.44648063,63.33450789636999,332795.82098694,21077459.552176002
45,14,14,-1,27.11.2018,domestic,spot,430604,CPT,RU,34,processor,Строительство,Пр-во строительных материалов,0.0,0,0,20766458.369387,0,281148.44648063,63.33450789636999,332795.82098694,21077459.552176002
46,15,15,-1,28.11.2018,domestic,spot,430604,CPT,RU,52,processor,Строительство,Пр-во строительных материалов,0.0,0,0,11714414.669003,0,293917.00999818,63.33450789636999,327471.10505511,20740221.288946
47,16,16,-1,12.11.2018,domestic,spot,430604,CPT,RU,50,processor,Строительство,Пр-во строительных материалов,0.0,0,0,13578070.262965,0,292536.3742747,63.33450789636999,328269.82226236,20790807.650215
48,16,16,-1,23.11.2018,domestic,spot,430604,CPT,RU,50,processor,Строительство,Пр-во строительных материалов,0.0,0,0,13844307.673986,0,292536.3742747,63.33450789636999,328269.82226236,20790807.650215
49,17,17,-1,02.11.2018,domestic,spot,430604,CPT,RU,23,processor,Строительство,Пр-во строительных материалов,0.0,0,0,26357431.43446,0,281148.44648063,63.33450789636999,335458.19609448,21246079.769448
50,17,17,-1,16.11.2018,domestic,spot,430604,CPT,RU,23,processor,Строительство,Пр-во строительных материалов,0.0,0,0,13178714.146434,0,281148.44648063,31.667253948185,335458.19453615,10623039.835376
51,17,17,-1,20.11.2018,domestic,spot,430604,CPT,RU,23,processor,Строительство,Пр-во строительных материалов,0.0,0,0,13178714.146434,0,281148.44648063,31.667253948185,335458.19453615,10623039.835376
52,18,18,-1,09.11.2018,domestic,spot,430604,CPT,RU,26,processor,Строительство,Пр-во строительных материалов,0.0,0,0,27954849.617401,0,281148.44648063,63.33450789636999,335458.19609448,21246079.769448
53,18,18,-1,13.11.2018,domestic,spot,430604,CPT,RU,26,processor,Строительство,Пр-во строительных материалов,0.0,0,0,27954849.617401,0,281148.44648063,63.33450789636999,335458.19609448,21246079.769448
54,19,19,-1,29.11.2018,domestic,spot,430604,FCA,RU,43,processor,Строительство,Пр-во строительных материалов,0.0,0,0,0.0,0,293917.00999818,36.945129606216,322146.35595312,11901738.872858
55,20,20,-1,26.11.2018,domestic,spot,430604,CPT,RU,35,processor,Строительство,Пр-во строительных материалов,0.0,0,0,15574844.562438,0,283717.04405014,47.500880922278,332795.8204675,15808094.639457999
56,21,21,-1,02.11.2018,domestic,spot,430604,FCA,RU,59,processor,Строительство,Пр-во строительных материалов,0.0,0,0,0.0,0,293917.00999818,2.6389378290153997,328802.30351719,867688.83701892
57,21,21,-1,19.11.2018,domestic,spot,430604,FCA,RU,59,processor,Строительство,Пр-во строительных материалов,0.0,0,0,0.0,0,293917.00999818,2.6389378290153997,328802.30351719,867688.83701892
58,21,21,-1,22.11.2018,domestic,spot,430604,FCA,RU,59,processor,Строительство,Пр-во строительных материалов,0.0,0,0,0.0,0,293917.00999818,2.6389378290153997,328802.30351719,867688.83701892
59,22,22,-1,13.11.2018,domestic,spot,430604,FCA,RU,74,processor,Строительство,Пр-во строительных материалов,0.0,0,0,0.0,0,295455.60500027,63.33450789636999,324808.72994756,20571601.071674
60,24,24,-1,16.11.2018,domestic,spot,430604,CPT,RU,23,processor,Строительство,Пр-во строительных материалов,0.0,0,0,26357431.43446,0,281148.44648063,63.33450789636999,335458.19609448,21246079.769448
61,25,25,-1,10.11.2018,domestic,spot,430604,CPT,RU,63,processor,Строительство,Пр-во строительных материалов,0.0,0,0,12592995.612098,0,293917.00999818,63.33450789636999,327471.10505511,20740221.288946
62,25,25,-1,23.11.2018,domestic,spot,430604,CPT,RU,63,processor,Строительство,Пр-во строительных материалов,0.0,0,0,10649468.166511,0,293917.00999818,63.33450789636999,327471.10505511,20740221.288946
63,25,25,-1,25.11.2018,domestic,spot,430604,CPT,RU,63,processor,Строительство,Пр-во строительных материалов,0.0,0,0,12592995.612098,0,293917.00999818,63.33450789636999,327471.10505511,20740221.288946
64,25,25,-1,29.11.2018,domestic,spot,430604,CPT,RU,63,processor,Строительство,Пр-во строительных материалов,0.0,0,0,12592995.612098,0,293917.00999818,63.33450789636999,327471.10505511,20740221.288946
65,27,27,-1,07.11.2018,domestic,spot,430604,CPT,RU,66,processor,Строительство,Пр-во строительных материалов,0.0,0,0,7987100.339485001,0,295455.60500027,63.33450789636999,325074.97992496,20588463.88297
66,27,27,-1,26.11.2018,domestic,spot,430604,CPT,RU,66,processor,Строительство,Пр-во строительных материалов,0.0,0,0,3993548.5989462007,0,295455.60500027,31.667253948185,325074.98148329,10294231.990833
67,27,27,-1,29.11.2018,domestic,spot,430604,CPT,RU,66,processor,Строительство,Пр-во строительных материалов,0.0,0,0,7987100.339485001,0,295455.60500027,63.33450789636999,325074.97992496,20588463.88297
68,28,28,-1,04.11.2018,domestic,spot,430604,CPT,RU,23,processor,Строительство,Пр-во строительных материалов,0.0,0,0,13444951.557455,0,281148.44648063,31.667253948185,335458.19453615,10623039.835376
69,28,28,-1,05.11.2018,domestic,spot,430604,CPT,RU,23,processor,Строительство,Пр-во строительных материалов,0.0,0,0,13444951.557455,0,281148.44648063,31.667253948185,335458.19453615,10623039.835376
70,28,28,-1,13.11.2018,domestic,spot,430604,CPT,RU,23,processor,Строительство,Пр-во строительных материалов,0.0,0,0,13444951.557455,0,281148.44648063,31.667253948185,335458.19453615,10623039.835376
71,29,29,-1,02.11.2018,domestic,spot,430604,CPT,RU,52,processor,Строительство,Пр-во строительных материалов,0.0,0,0,1020574.6478525,0,293917.00999818,5.277875658030901,330133.47860432,1742403.4506268
72,29,29,-1,17.11.2018,domestic,spot,430604,CPT,RU,52,processor,Строительство,Пр-во строительных материалов,0.0,0,0,976202.79321322,0,293917.00999818,5.277875658030901,330133.47860432,1742403.4506268
73,30,30,-1,30.11.2018,domestic,spot,430604,FCA,RU,55,processor,Строительство,Пр-во строительных материалов,0.0,0,0,0.0,0,284369.49001243,7.9168134870463005,320815.16572792,2539833.8308837996
74,31,31,-1,03.11.2018,domestic,spot,430604,FCA,RU,91,processor,Строительство,Пр-во строительных материалов,0.0,0,0,0.0,0,281148.44648063,63.33450789636999,320815.16884458,20318670.844462
75,31,31,-1,05.11.2018,domestic,spot,430604,FCA,RU,91,processor,Строительство,Пр-во строительных материалов,0.0,0,0,0.0,0,281148.44648063,63.33450789636999,320815.16884458,20318670.844462
76,31,31,-1,23.11.2018,domestic,spot,430604,FCA,RU,91,processor,Строительство,Пр-во строительных материалов,0.0,0,0,0.0,0,281148.44648063,63.33450789636999,320815.16884458,20318670.844462
77,31,31,-1,25.11.2018,domestic,spot,430604,FCA,RU,91,processor,Строительство,Пр-во строительных материалов,0.0,0,0,0.0,0,281148.44648063,63.33450789636999,320815.16884458,20318670.844462
78,31,31,-1,28.11.2018,domestic,spot,430604,FCA,RU,91,processor,Строительство,Пр-во строительных материалов,0.0,0,0,0.0,0,281148.44648063,63.33450789636999,320815.16884458,20318670.844462
79,31,31,-1,30.11.2018,domestic,spot,430604,FCA,RU,61,processor,Строительство,Пр-во строительных материалов,0.0,0,0,0.0,0,281148.44648063,126.66901579273998,320815.16884458,40637341.688925
