office_id, city, latitude, longitude, work_day_hours, holiday_hours, opt_0, opt_1, opt_2, opt_3, opt_4, opt_5, opt_6, opt_7, opt_8, opt_9, opt_10, opt_11, opt_12, opt_13, opt_14, opt_15, opt_16
59, г.Москва, 55.759927, 37.406172, 10:00-20:00, 10:00-17:00, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
60, г.Москва, 55.655595, 37.493792, 10:00-20:00, 10:00-17:00, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0
61, г.Москва, 55.642642, 37.52438, 10:00-21:00, 10:00-17:00, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0
62, г.Москва, 55.875395, 37.532691, 10:00-20:00, 10:00-17:00, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0
63, г.Москва, 55.79993, 37.40767, 10:00-20:00, 10:00-17:00, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
64, г.Москва, 55.888018, 37.668031, 10:00-20:00, 10:00-17:00, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0
65, г.Москва, 55.892864, 37.585601, 10:00-20:00, 10:00-17:00, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0
66, г.Москва, 55.70242, 37.84839, 09:00-20:00, 10:00-17:00, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0
67, г.Москва, 55.741906, 37.870089, 10:00-20:00, 10:00-17:00, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0
68, г.Москва, 55.65883, 37.409505, 10:00-20:00, 10:00-17:00, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0
69, г.Москва, 55.604092, 37.539024, 10:00-20:00, 10:00-17:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0
70, г.Москва, 55.609945, 37.732521, 10:00-20:00, 10:00-17:00, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0
71, г.Химки, 55.887836, 37.416682, 10:00-20:00, 10:00-17:00, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0
72, г.Мытищи, 55.917949, 37.746463, 10:00-20:00, 10:00-17:00, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0
73, г.Москва, 55.848468, 37.354528, 10:00-21:00, 10:00-17:00, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0
74, г.Балашиха, 55.796015, 37.933941, 10:00-20:00, 10:00-17:00, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0
75, г.Москва, 55.56786, 37.56677, 10:00-20:00, 10:00-17:00, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0
76, г.Одинцово, 55.68516, 37.30283, 09:30-20:00, 10:00-17:00, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0
77, г.Королев, 55.921844, 37.843759, 10:00-20:00, 10:00-17:00, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0
78, г.Подольск, 55.433374, 37.549606, 09:00-19:00, 10:00-17:00, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0
79, г.Домодедово, 55.434671, 37.772999, 10:00-20:00, 10:00-17:00, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0
80, г.Зеленоград, 55.980709, 37.182186, 10:00-20:00, 10:00-17:00, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0
81, г.Калуга, 54.510235, 36.266781, 10:00-19:00, 10:00-14:00, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
82, г.Тула, 54.193991, 37.614294, 10:00-19:00, 10:00-14:00, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0
83, г.Ярославль, 57.632939, 39.869766, 10:00-19:00, 10:00-14:00, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
84, г.Орёл, 52.969161, 36.079513, 10:00-19:00, 10:00-14:00, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0
85, г.Брянск, 53.238916, 34.346806, 09:00-19:00, not working, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
86, г.Липецк, 52.60163, 39.60169, 09:00-18:00, 10:00-14:00, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
87, г.Череповец, 59.130684, 37.932638, 09:00-19:00, 10:00-16:00, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0
88, г.Смоленск, 54.770524, 32.102244, 09:00-19:00, not working, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
89, г.Нижний Новгород, 56.238902, 43.867188, 10:00-19:00, 10:00-15:00, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
90, г.Нижний Новгород, 56.353641, 43.867277, 10:00-19:00, not working, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0
91, г.Железногорск, 52.327784, 35.359567, 09:00-18:00, not working, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0
92, г.Нижний Новгород, 56.314322, 44.003103, 10:00-19:00, not working, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
93, г.Нижний Новгород, 56.316419, 44.019533, 09:00-19:00, 10:00-15:00, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0
94, г.Курск, 51.730205, 36.191838, 10:00-19:00, 10:00-14:00, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
95, г.Воронеж, 51.671417, 39.187612, 10:00-19:00, 11:00-15:00, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0
96, г.Воронеж, 51.658998, 39.196927, 09:00-18:00, 09:00-14:00, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0
97, г.Саранск, 54.18379, 45.18787, 09:00-19:00, 10:00-14:00, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
98, г.Белгород, 50.569776, 36.569324, 09:00-18:00, 10:00-14:00, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
99, г.Санкт-Петербург, 59.829283, 30.385982, 11:00-20:00, 11:00-17:00, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0
100, г.Санкт-Петербург, 59.917199, 30.471798, 11:00-20:00, 11:00-17:00, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0
101, г.Санкт-Петербург, 59.848552, 30.322345, 11:00-20:00, 11:00-17:00, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0
